timestamp,type,price,executionId
1.649088051912e+18,READ,3.05e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088052092e+18,WRITE,0.0001525,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088052192e+18,READ,3.05e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088052292e+18,WRITE,0.0001525,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088052392e+18,READ,3.05e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088052492e+18,WRITE,0.0001525,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088052573e+18,READ,3.05e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088052712e+18,WRITE,0.0001525,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088052792e+18,READ,3.05e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088052873e+18,WRITE,0.0001525,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088052992e+18,READ,3.05e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088053092e+18,WRITE,0.0001525,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088053213e+18,READ,3.05e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088053333e+18,WRITE,0.0001525,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088053433e+18,READ,3.05e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088053532e+18,WRITE,0.0001525,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088053633e+18,READ,3.05e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088053732e+18,WRITE,0.0001525,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088053832e+18,READ,3.05e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088053952e+18,WRITE,0.0001525,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.6490880540329998e+24,INVOCATION,2e-05,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.6490880540329998e+24,TIME,0.00408618,5ea87b79-bc17-4937-ab8b-dbec1bf31ddb
1.649088054252e+18,READ,3.05e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088054372e+18,WRITE,0.0001525,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088054513e+18,READ,3.05e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088054652e+18,WRITE,0.0001525,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088054792e+18,READ,3.05e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088054892e+18,WRITE,0.0001525,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088055072e+18,READ,3.05e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088055178e+18,WRITE,0.0001525,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088055274e+18,READ,3.05e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088055413e+18,WRITE,0.0001525,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088055534e+18,READ,3.05e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088055653e+18,WRITE,0.0001525,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088055812e+18,READ,3.05e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088055853e+18,WRITE,0.0001525,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088055992e+18,READ,3.05e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088056073e+18,WRITE,0.0001525,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088056093e+18,READ,3.05e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088056193e+18,WRITE,0.0001525,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088056273e+18,READ,3.05e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088056333e+18,WRITE,0.0001525,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088056352e+24,INVOCATION,2e-05,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088056352e+24,TIME,0.0009651600000000001,757aafee-9334-4b37-8e04-06789e0ef9e7
1.649088056433e+18,READ,3.05e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.649088056513e+18,WRITE,0.0001525,e62619a4-c715-4c76-bcff-48d01874db73
1.649088056573e+18,READ,3.05e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.649088056653e+18,WRITE,0.0001525,e62619a4-c715-4c76-bcff-48d01874db73
1.649088056713e+18,READ,3.05e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.649088056757e+18,WRITE,0.0001525,e62619a4-c715-4c76-bcff-48d01874db73
1.649088056763e+18,READ,3.05e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.649088056892e+18,WRITE,0.0001525,e62619a4-c715-4c76-bcff-48d01874db73
1.649088056913e+18,READ,3.05e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057012e+18,WRITE,0.0001525,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057093e+18,READ,3.05e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057157e+18,WRITE,0.0001525,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057233e+18,READ,3.05e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057293e+18,WRITE,0.0001525,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057313e+18,READ,3.05e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057353e+18,WRITE,0.0001525,e62619a4-c715-4c76-bcff-48d01874db73
