timestamp,type,price,executionId
2022-04-04 14:57:24.106000+00:00,WRITE,0.000117,wmvu67n0kb0z
2022-04-04 14:57:24.112672+00:00,INVOCATION,4e-05,wmvu67n0kb0z
2022-04-04 14:57:24.112672+00:00,TIME,0.00036936,wmvu67n0kb0z
2022-04-04 14:57:24.174000+00:00,WRITE,0.000117,wmvu35uz4x2g
2022-04-04 14:57:24.175002+00:00,INVOCATION,4e-05,wmvu35uz4x2g
2022-04-04 14:57:24.175002+00:00,TIME,2.7216e-05,wmvu35uz4x2g
2022-04-04 14:57:24.972000+00:00,WRITE,0.000117,wmvuebc46sou
2022-04-04 14:57:24.973266+00:00,INVOCATION,4e-05,wmvuebc46sou
2022-04-04 14:57:24.973266+00:00,TIME,2.5920000000000003e-05,wmvuebc46sou
2022-04-04 14:57:25.970000+00:00,WRITE,0.000117,wmvule64nc76
2022-04-04 14:57:25.970871+00:00,INVOCATION,4e-05,wmvule64nc76
2022-04-04 14:57:25.970871+00:00,TIME,2.4624e-05,wmvule64nc76
2022-04-04 14:57:26.951000+00:00,WRITE,0.000117,wmvudi9vko40
2022-04-04 14:57:26.952273+00:00,INVOCATION,4e-05,wmvudi9vko40
2022-04-04 14:57:26.952273+00:00,TIME,1.2960000000000001e-05,wmvudi9vko40
2022-04-04 14:57:27.966000+00:00,WRITE,0.000117,wmvu8jv39dsu
2022-04-04 14:57:27.967963+00:00,INVOCATION,4e-05,wmvu8jv39dsu
2022-04-04 14:57:27.967963+00:00,TIME,2.2680000000000003e-05,wmvu8jv39dsu
2022-04-04 14:57:28.966000+00:00,WRITE,0.000117,wmvupmxv66rz
2022-04-04 14:57:28.967275+00:00,INVOCATION,4e-05,wmvupmxv66rz
2022-04-04 14:57:28.967275+00:00,TIME,2.2032000000000002e-05,wmvupmxv66rz
2022-04-04 14:57:29.966000+00:00,WRITE,0.000117,wmvum7vx7rfe
2022-04-04 14:57:29.966650+00:00,INVOCATION,4e-05,wmvum7vx7rfe
2022-04-04 14:57:29.966650+00:00,TIME,2.1384e-05,wmvum7vx7rfe
2022-04-04 14:57:30.974000+00:00,WRITE,0.000117,wmvu9l6yj0jf
2022-04-04 14:57:30.975533+00:00,INVOCATION,4e-05,wmvu9l6yj0jf
2022-04-04 14:57:30.975533+00:00,TIME,2.7864e-05,wmvu9l6yj0jf
2022-04-04 14:57:31.979000+00:00,WRITE,0.000117,wmvugjislumc
2022-04-04 14:57:31.980311+00:00,INVOCATION,4e-05,wmvugjislumc
2022-04-04 14:57:31.980311+00:00,TIME,3.0456e-05,wmvugjislumc
2022-04-04 14:57:32.950000+00:00,WRITE,0.000117,wmvuffzn4kbk
2022-04-04 14:57:32.950686+00:00,INVOCATION,4e-05,wmvuffzn4kbk
2022-04-04 14:57:32.950686+00:00,TIME,1.1664e-05,wmvuffzn4kbk
2022-04-04 14:57:33.969000+00:00,WRITE,0.000117,wmvux4d194dm
2022-04-04 14:57:33.970437+00:00,INVOCATION,4e-05,wmvux4d194dm
2022-04-04 14:57:33.970437+00:00,TIME,2.3328e-05,wmvux4d194dm
2022-04-04 14:57:34.967000+00:00,WRITE,0.000117,wmvu7ho4vign
