labels,timestamp,value
{consumergroup=theodolite-uc3-application},1650147452,37
{consumergroup=theodolite-uc3-application},1650147502,0
{consumergroup=theodolite-uc3-application},1650147507,0
{consumergroup=theodolite-uc3-application},1650147512,0
{consumergroup=theodolite-uc3-application},1650147517,0
{consumergroup=theodolite-uc3-application},1650147522,0
{consumergroup=theodolite-uc3-application},1650147527,0
{consumergroup=theodolite-uc3-application},1650147532,0
{consumergroup=theodolite-uc3-application},1650147537,0
{consumergroup=theodolite-uc3-application},1650147542,0
{consumergroup=theodolite-uc3-application},1650147547,457
{consumergroup=theodolite-uc3-application},1650147552,457
{consumergroup=theodolite-uc3-application},1650147557,457
{consumergroup=theodolite-uc3-application},1650147562,839
{consumergroup=theodolite-uc3-application},1650147567,839
{consumergroup=theodolite-uc3-application},1650147572,839
{consumergroup=theodolite-uc3-application},1650147577,881
{consumergroup=theodolite-uc3-application},1650147582,881
{consumergroup=theodolite-uc3-application},1650147587,881
{consumergroup=theodolite-uc3-application},1650147592,888
{consumergroup=theodolite-uc3-application},1650147597,888
{consumergroup=theodolite-uc3-application},1650147602,888
{consumergroup=theodolite-uc3-application},1650147607,1002
{consumergroup=theodolite-uc3-application},1650147612,1002
{consumergroup=theodolite-uc3-application},1650147617,1002
{consumergroup=theodolite-uc3-application},1650147622,938
{consumergroup=theodolite-uc3-application},1650147627,938
{consumergroup=theodolite-uc3-application},1650147632,938
{consumergroup=theodolite-uc3-application},1650147637,1050
{consumergroup=theodolite-uc3-application},1650147642,1050
{consumergroup=theodolite-uc3-application},1650147647,1050
{consumergroup=theodolite-uc3-application},1650147652,802
{consumergroup=theodolite-uc3-application},1650147657,802
{consumergroup=theodolite-uc3-application},1650147662,802
{consumergroup=theodolite-uc3-application},1650147667,1158
{consumergroup=theodolite-uc3-application},1650147672,1158
{consumergroup=theodolite-uc3-application},1650147677,1158
{consumergroup=theodolite-uc3-application},1650147682,920
{consumergroup=theodolite-uc3-application},1650147687,920
{consumergroup=theodolite-uc3-application},1650147692,920
{consumergroup=theodolite-uc3-application},1650147697,1260
{consumergroup=theodolite-uc3-application},1650147702,1260
{consumergroup=theodolite-uc3-application},1650147707,1260
{consumergroup=theodolite-uc3-application},1650147712,1200
{consumergroup=theodolite-uc3-application},1650147717,1200
{consumergroup=theodolite-uc3-application},1650147722,1200
{consumergroup=theodolite-uc3-application},1650147727,1500
{consumergroup=theodolite-uc3-application},1650147732,1500
{consumergroup=theodolite-uc3-application},1650147737,1500
{consumergroup=theodolite-uc3-application},1650147742,1246
{consumergroup=theodolite-uc3-application},1650147747,1246
{consumergroup=theodolite-uc3-application},1650147752,1246
{consumergroup=theodolite-uc3-application},1650147757,1395
{consumergroup=theodolite-uc3-application},1650147762,1395
{consumergroup=theodolite-uc3-application},1650147767,1395
{consumergroup=theodolite-uc3-application},1650147772,1476
{consumergroup=theodolite-uc3-application},1650147777,1476
{consumergroup=theodolite-uc3-application},1650147782,1476
