labels,timestamp,value
{consumergroup=theodolite-uc1-application},1650303346,0
{consumergroup=theodolite-uc1-application},1650303351,0
{consumergroup=theodolite-uc1-application},1650303356,0
{consumergroup=theodolite-uc1-application},1650303361,0
{consumergroup=theodolite-uc1-application},1650303366,0
{consumergroup=theodolite-uc1-application},1650303371,0
{consumergroup=theodolite-uc1-application},1650303376,742
{consumergroup=theodolite-uc1-application},1650303381,742
{consumergroup=theodolite-uc1-application},1650303386,742
{consumergroup=theodolite-uc1-application},1650303391,537
{consumergroup=theodolite-uc1-application},1650303396,537
{consumergroup=theodolite-uc1-application},1650303401,537
{consumergroup=theodolite-uc1-application},1650303406,544
{consumergroup=theodolite-uc1-application},1650303411,544
{consumergroup=theodolite-uc1-application},1650303416,544
{consumergroup=theodolite-uc1-application},1650303421,496
{consumergroup=theodolite-uc1-application},1650303426,496
{consumergroup=theodolite-uc1-application},1650303431,496
{consumergroup=theodolite-uc1-application},1650303436,488
{consumergroup=theodolite-uc1-application},1650303441,488
{consumergroup=theodolite-uc1-application},1650303446,488
{consumergroup=theodolite-uc1-application},1650303451,495
{consumergroup=theodolite-uc1-application},1650303456,495
{consumergroup=theodolite-uc1-application},1650303461,495
{consumergroup=theodolite-uc1-application},1650303466,682
{consumergroup=theodolite-uc1-application},1650303471,682
{consumergroup=theodolite-uc1-application},1650303476,682
{consumergroup=theodolite-uc1-application},1650303481,473
{consumergroup=theodolite-uc1-application},1650303486,473
{consumergroup=theodolite-uc1-application},1650303491,473
{consumergroup=theodolite-uc1-application},1650303496,792
{consumergroup=theodolite-uc1-application},1650303501,792
{consumergroup=theodolite-uc1-application},1650303506,792
{consumergroup=theodolite-uc1-application},1650303511,1308
{consumergroup=theodolite-uc1-application},1650303516,1308
{consumergroup=theodolite-uc1-application},1650303521,1308
{consumergroup=theodolite-uc1-application},1650303526,1901
{consumergroup=theodolite-uc1-application},1650303531,1901
{consumergroup=theodolite-uc1-application},1650303536,1901
{consumergroup=theodolite-uc1-application},1650303541,3089
{consumergroup=theodolite-uc1-application},1650303546,3089
{consumergroup=theodolite-uc1-application},1650303551,3089
{consumergroup=theodolite-uc1-application},1650303556,4052
{consumergroup=theodolite-uc1-application},1650303561,4052
{consumergroup=theodolite-uc1-application},1650303566,4052
{consumergroup=theodolite-uc1-application},1650303571,4894
{consumergroup=theodolite-uc1-application},1650303576,4894
{consumergroup=theodolite-uc1-application},1650303581,4894
{consumergroup=theodolite-uc1-application},1650303586,5040
{consumergroup=theodolite-uc1-application},1650303591,5040
{consumergroup=theodolite-uc1-application},1650303596,5040
{consumergroup=theodolite-uc1-application},1650303601,5552
{consumergroup=theodolite-uc1-application},1650303606,5552
{consumergroup=theodolite-uc1-application},1650303611,5552
{consumergroup=theodolite-uc1-application},1650303616,6014
{consumergroup=theodolite-uc1-application},1650303621,6014
{consumergroup=theodolite-uc1-application},1650303626,6014
{consumergroup=theodolite-uc1-application},1650303631,6062
{consumergroup=theodolite-uc1-application},1650303636,6062
{consumergroup=theodolite-uc1-application},1650303641,6062
{consumergroup=theodolite-uc1-application},1650303646,7455
{consumergroup=theodolite-uc1-application},1650303651,7455
{consumergroup=theodolite-uc1-application},1650303656,7455
{consumergroup=theodolite-uc1-application},1650303661,9028
{consumergroup=theodolite-uc1-application},1650303666,9028
{consumergroup=theodolite-uc1-application},1650303671,9028
{consumergroup=theodolite-uc1-application},1650303676,10458
{consumergroup=theodolite-uc1-application},1650303681,10458
{consumergroup=theodolite-uc1-application},1650303686,10458
{consumergroup=theodolite-uc1-application},1650303691,10284
{consumergroup=theodolite-uc1-application},1650303696,10284
{consumergroup=theodolite-uc1-application},1650303701,10284
{consumergroup=theodolite-uc1-application},1650303706,10520
{consumergroup=theodolite-uc1-application},1650303711,10520
{consumergroup=theodolite-uc1-application},1650303716,10520
{consumergroup=theodolite-uc1-application},1650303721,11941
{consumergroup=theodolite-uc1-application},1650303726,11941
