labels,timestamp,value
{consumergroup=theodolite-uc3-application},1648564222,0
{consumergroup=theodolite-uc3-application},1648564227,0
{consumergroup=theodolite-uc3-application},1648564232,0
{consumergroup=theodolite-uc3-application},1648564237,0
{consumergroup=theodolite-uc3-application},1648564242,0
{consumergroup=theodolite-uc3-application},1648564247,0
{consumergroup=theodolite-uc3-application},1648564252,0
{consumergroup=theodolite-uc3-application},1648564257,0
{consumergroup=theodolite-uc3-application},1648564262,0
{consumergroup=theodolite-uc3-application},1648564267,555
{consumergroup=theodolite-uc3-application},1648564272,555
{consumergroup=theodolite-uc3-application},1648564277,555
{consumergroup=theodolite-uc3-application},1648564282,342
{consumergroup=theodolite-uc3-application},1648564287,342
{consumergroup=theodolite-uc3-application},1648564292,342
{consumergroup=theodolite-uc3-application},1648564297,317
{consumergroup=theodolite-uc3-application},1648564302,317
{consumergroup=theodolite-uc3-application},1648564307,317
{consumergroup=theodolite-uc3-application},1648564312,303
{consumergroup=theodolite-uc3-application},1648564317,303
{consumergroup=theodolite-uc3-application},1648564322,303
{consumergroup=theodolite-uc3-application},1648564327,288
{consumergroup=theodolite-uc3-application},1648564332,288
{consumergroup=theodolite-uc3-application},1648564337,288
{consumergroup=theodolite-uc3-application},1648564342,264
{consumergroup=theodolite-uc3-application},1648564347,264
{consumergroup=theodolite-uc3-application},1648564352,264
{consumergroup=theodolite-uc3-application},1648564357,227
{consumergroup=theodolite-uc3-application},1648564362,227
{consumergroup=theodolite-uc3-application},1648564367,227
{consumergroup=theodolite-uc3-application},1648564372,226
{consumergroup=theodolite-uc3-application},1648564377,226
{consumergroup=theodolite-uc3-application},1648564382,226
{consumergroup=theodolite-uc3-application},1648564387,193
{consumergroup=theodolite-uc3-application},1648564392,193
{consumergroup=theodolite-uc3-application},1648564397,193
{consumergroup=theodolite-uc3-application},1648564402,192
{consumergroup=theodolite-uc3-application},1648564407,192
{consumergroup=theodolite-uc3-application},1648564412,192
{consumergroup=theodolite-uc3-application},1648564417,172
{consumergroup=theodolite-uc3-application},1648564422,172
{consumergroup=theodolite-uc3-application},1648564427,172
{consumergroup=theodolite-uc3-application},1648564432,166
{consumergroup=theodolite-uc3-application},1648564437,166
{consumergroup=theodolite-uc3-application},1648564442,166
{consumergroup=theodolite-uc3-application},1648564447,140
{consumergroup=theodolite-uc3-application},1648564452,140
{consumergroup=theodolite-uc3-application},1648564457,140
{consumergroup=theodolite-uc3-application},1648564462,152
{consumergroup=theodolite-uc3-application},1648564467,152
{consumergroup=theodolite-uc3-application},1648564472,152
{consumergroup=theodolite-uc3-application},1648564477,130
{consumergroup=theodolite-uc3-application},1648564482,130
{consumergroup=theodolite-uc3-application},1648564487,130
{consumergroup=theodolite-uc3-application},1648564492,141
{consumergroup=theodolite-uc3-application},1648564497,141
