labels,timestamp,value
{consumergroup=theodolite-uc3-application},1648574731,0
{consumergroup=theodolite-uc3-application},1648574786,0
{consumergroup=theodolite-uc3-application},1648574791,0
{consumergroup=theodolite-uc3-application},1648574796,0
{consumergroup=theodolite-uc3-application},1648574801,0
{consumergroup=theodolite-uc3-application},1648574806,0
{consumergroup=theodolite-uc3-application},1648574811,0
{consumergroup=theodolite-uc3-application},1648574816,0
{consumergroup=theodolite-uc3-application},1648574821,0
{consumergroup=theodolite-uc3-application},1648574826,0
{consumergroup=theodolite-uc3-application},1648574831,0
{consumergroup=theodolite-uc3-application},1648574836,0
{consumergroup=theodolite-uc3-application},1648574841,0
{consumergroup=theodolite-uc3-application},1648574846,0
{consumergroup=theodolite-uc3-application},1648574851,0
{consumergroup=theodolite-uc3-application},1648574856,0
{consumergroup=theodolite-uc3-application},1648574861,0
{consumergroup=theodolite-uc3-application},1648574866,0
{consumergroup=theodolite-uc3-application},1648574871,0
{consumergroup=theodolite-uc3-application},1648574876,343
{consumergroup=theodolite-uc3-application},1648574881,343
{consumergroup=theodolite-uc3-application},1648574886,343
{consumergroup=theodolite-uc3-application},1648574891,9138
{consumergroup=theodolite-uc3-application},1648574896,9138
{consumergroup=theodolite-uc3-application},1648574901,9138
{consumergroup=theodolite-uc3-application},1648574906,10202
{consumergroup=theodolite-uc3-application},1648574911,10202
{consumergroup=theodolite-uc3-application},1648574916,10202
{consumergroup=theodolite-uc3-application},1648574921,12278
{consumergroup=theodolite-uc3-application},1648574926,12278
{consumergroup=theodolite-uc3-application},1648574931,12278
{consumergroup=theodolite-uc3-application},1648574936,14267
{consumergroup=theodolite-uc3-application},1648574941,14267
{consumergroup=theodolite-uc3-application},1648574946,14267
{consumergroup=theodolite-uc3-application},1648574951,15335
{consumergroup=theodolite-uc3-application},1648574956,15335
{consumergroup=theodolite-uc3-application},1648574961,15335
{consumergroup=theodolite-uc3-application},1648574966,17269
{consumergroup=theodolite-uc3-application},1648574971,17269
{consumergroup=theodolite-uc3-application},1648574976,17269
{consumergroup=theodolite-uc3-application},1648574981,19248
{consumergroup=theodolite-uc3-application},1648574986,19248
{consumergroup=theodolite-uc3-application},1648574991,19248
{consumergroup=theodolite-uc3-application},1648574996,20088
{consumergroup=theodolite-uc3-application},1648575001,20088
{consumergroup=theodolite-uc3-application},1648575006,20088
{consumergroup=theodolite-uc3-application},1648575011,22543
{consumergroup=theodolite-uc3-application},1648575016,22543
{consumergroup=theodolite-uc3-application},1648575021,22543
{consumergroup=theodolite-uc3-application},1648575026,24865
{consumergroup=theodolite-uc3-application},1648575031,24865
{consumergroup=theodolite-uc3-application},1648575036,24865
{consumergroup=theodolite-uc3-application},1648575041,26490
{consumergroup=theodolite-uc3-application},1648575046,26490
{consumergroup=theodolite-uc3-application},1648575051,26490
{consumergroup=theodolite-uc3-application},1648575056,28395
{consumergroup=theodolite-uc3-application},1648575061,28395
